INFO - THREAD-140735086698496 - 2018-03-20 16:35:08,036 - uniq.py - get_unique_entries - Deduplication: 1 -> 1
INFO - THREAD-140735086698496 - 2018-03-20 16:35:13,090 - dw.py - get_hrefs - Getting hrefs from: http://103.68.190.250/Sources/
INFO - THREAD-140735086698496 - 2018-03-20 16:35:17,666 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/
INFO - THREAD-140735086698496 - 2018-03-20 16:35:18,844 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares.zip
INFO - THREAD-140735086698496 - 2018-03-20 16:35:19,471 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/
INFO - THREAD-140735086698496 - 2018-03-20 16:35:20,662 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/
INFO - THREAD-140735086698496 - 2018-03-20 16:35:25,692 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/MSSCCPRJ.SCC
INFO - THREAD-140735086698496 - 2018-03-20 16:35:28,034 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/ModDecrypt.bas
INFO - THREAD-140735086698496 - 2018-03-20 16:35:37,353 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/Project.vbp
ERROR - THREAD-140735086698496 - 2018-03-20 16:35:52,712 - dw.py - get_hrefs - con.get(http://103.68.190.250/Sources/ActiveMalwares/BSRAT/Project.vbw) -> Error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
INFO - THREAD-140735086698496 - 2018-03-20 16:35:54,776 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/clsCRC.cls
INFO - THREAD-140735086698496 - 2018-03-20 16:35:58,447 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/clsChart.cls
INFO - THREAD-140735086698496 - 2018-03-20 16:36:00,702 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/clsResolve.cls
INFO - THREAD-140735086698496 - 2018-03-20 16:36:02,953 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/clsTooltip.cls
INFO - THREAD-140735086698496 - 2018-03-20 16:36:04,079 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmADClicker.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:36:57,138 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmADClicker.frx
INFO - THREAD-140735086698496 - 2018-03-20 16:37:01,080 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmADClicker.log
INFO - THREAD-140735086698496 - 2018-03-20 16:37:02,247 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmADSettings.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:37:14,529 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmADSettings.log
INFO - THREAD-140735086698496 - 2018-03-20 16:37:15,656 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmAttributes.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:37:19,035 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmAttributes.log
INFO - THREAD-140735086698496 - 2018-03-20 16:37:20,162 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmAudioCap.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:38:12,283 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmAudioCap.frx
INFO - THREAD-140735086698496 - 2018-03-20 16:38:20,482 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmAudioCap.log
INFO - THREAD-140735086698496 - 2018-03-20 16:38:24,468 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmBlockURL.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:38:38,907 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmBlockURL.frx
INFO - THREAD-140735086698496 - 2018-03-20 16:38:58,730 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmBotkiller.frm
INFO - THREAD-140735086698496 - 2018-03-20 16:39:59,291 - dw.py - get_hrefs - URL Fetch -> SUCCESS -> URL: http://103.68.190.250/Sources/ActiveMalwares/BSRAT/frmBotkiller.frx
